metabolite,name,coefficient,formula,formula_weight (g/mol),weight_contribution (g),carbon_content (mol C/mol biomass)
glu__L_c,L-Glutamate,-0.255712,C5H8NO4,146.12132,0.037364974979839996,1.27856
gly_c,Glycine,-0.595297,C2H5NO2,75.0666,0.04468692178019999,1.190594
glycogen_c,Glycogen C6H10O5,-0.154187,C6H10O5,162.1406,0.024999972692199997,0.925122
gthrd_c,Reduced glutathione,-0.000223,C10H16N3O6S,306.31554,6.830836542e-05,0.00223
gtp_c,GTP C10H12N5O14P3,-0.209121,C10H12N5O14P3,519.148663,0.10856488755522302,2.0912100000000002
h2o_c,H2O H2O,-48.752916,H2O,18.01528,0.8782974325564801,0.0
h_c,H+,53.95,H,1.00794,-0.05437836300000001,0.0
hemeO_c,Heme O C49H56FeN4O5,-0.000223,C49H56FeN4O5,836.83774,0.00018661481602,0.010927
his__L_c,L-Histidine,-0.092056,C6H9N3O2,155.15456,0.01428290817536,0.5523359999999999
ile__L_c,L-Isoleucine,-0.282306,C6H13NO2,131.17291999999998,0.03703090235351999,1.6938360000000001
k_c,Potassium,-0.18569,K,39.0983,0.007260163327,0.0
leu__L_c,L-Leucine,-0.437778,C6H13NO2,131.17291999999998,0.05742461857175999,2.626668
lipopb_c,Lipoate (protein bound),-3e-06,C8H13OS2,189.31822,5.679546600000001e-07,2.4e-05
lys__L_c,L-Lysine,-0.333448,C6H15N2O2,147.1955,0.049082045084000006,2.0006880000000002
malcoa_c,Malonyl CoA C24H33N7O19P3S,-3.1e-05,C24H33N7O19P3S,848.5406029999999,2.6304758692999997e-05,0.0007440000000000001
met__L_c,L-Methionine,-0.149336,C5H11NO2S,149.21134,0.02228262467024,0.74668
mg2_c,Magnesium,-0.008253,Mg,24.305,0.000200589165,0.0
mlthf_c,"5,10-Methylenetetrahydrofolate",-0.000223,C20H21N7O6,455.42404,0.00010155956091999999,0.00446
mn2_c,Manganese,-0.000658,Mn,54.938049,3.6149236242e-05,0.0
mobd_c,Molybdate,-7e-06,MoO4,159.9376,1.1195632000000002e-06,0.0
mococdp_c,Molybdopterin cytosine dinucleotide,-7e-06,C19H22N8O15P2S2Mo,824.440102,5.771080714000001e-06,0.000133
mocogdp_c,Molybdopterin guanine dinucleotide,-7e-06,C20H22N10O15P2S2Mo,864.4642020000001,6.0512494140000005e-06,0.00014
mql8_c,Menaquinol 8,-0.000223,C51H74O2,719.13206,0.00016036644938,0.011373
murein3p3p_p,"Two linked disacharide tripeptide murein units (uncrosslinked, middle of chain)",-0.001345,C68H104N12O38,1697.61096,0.0022832867412,0.09146
murein3px4p_p,"Two disacharide linked murein units, tripeptide crosslinked tetrapeptide (A2pm->D-ala) (middle of chain)",-0.000605,C71H107N13O38,1750.67358,0.0010591575158999998,0.042955
murein4p4p_p,"Two linked disacharide tetrapeptide murein units (uncrosslinked, middle of chain)",-0.005381,C74H114N14O40,1839.76676,0.009899784935560001,0.39819400000000005
murein4px4p_p,"Two disacharide linked murein units, tetrapeptide corsslinked tetrapeptide (A2pm->D-ala) (middle of chain)",-0.005448,C74H112N14O39,1821.75148,0.009924902063039998,0.40315199999999995
murein4px4px4p_p,Three disacharide linked murein units (tetrapeptide crosslinked tetrapeptide (A2pm->D-ala) & tetrapeptide corsslinked tetrapeptide (A2pm->D-ala)) (middle of chain),-0.000673,C111H167N21O58,2723.61958,0.0018329959773400002,0.07470299999999999
nad_c,Nicotinamide adenine dinucleotide,-0.001787,C21H26N7O14P2,662.4171620000001,0.0011837394684940002,0.037527
nadh_c,Nicotinamide adenine dinucleotide - reduced,-4.5e-05,C21H27N7O14P2,663.425102,2.9854129590000005e-05,0.0009450000000000001
nadp_c,Nicotinamide adenine dinucleotide phosphate,-0.000112,C21H25N7O17P3,740.3811830000001,8.292269249600001e-05,0.002352
nadph_c,Nicotinamide adenine dinucleotide phosphate - reduced,-0.000335,C21H26N7O17P3,741.389123,0.000248365356205,0.0070350000000000005
nh4_c,Ammonium,-0.012379,H4N,18.03846,0.00022329809633999997,0.0
ni2_c,Nickel,-0.000307,Ni,58.6934,1.80188738e-05,0.0
pe160_c,"Phosphatidylethanolamine (dihexadecanoyl, n-C16:0)",-0.012366,C37H74N1O8P1,691.959121,0.008556766490286,0.457542
pe160_p,"Phosphatidylethanolamine (dihexadecanoyl, n-C16:0)",-0.031798,C37H74N1O8P1,691.959121,0.022002916129558,1.176526
pe161_c,"Phosphatidylethanolamine (dihexadec-9enoyl, n-C16:1)",-0.009618,C37H70N1O8P1,687.9273609999999,0.006616485358097999,0.355866
pe161_p,"Phosphatidylethanolamine (dihexadec-9enoyl, n-C16:1)",-0.024732,C37H70N1O8P1,687.9273609999999,0.017013819492252,0.915084
pe181_c,"Phosphatidylethanolamine (dioctadec-11-enoyl, n-C18:1)",-0.004957,C41H78N1O8P1,744.0336809999999,0.0036881749567169993,0.20323699999999997
pe181_p,"Phosphatidylethanolamine (dioctadec-11-enoyl, n-C18:1)",-0.012747,C41H78N1O8P1,744.0336809999999,0.009484197331706998,0.522627
pg160_c,"Phosphatidylglycerol (dihexadecanoyl, n-C16:0)",-0.005707,C38H74O10P1,721.9619210000001,0.004120236683147001,0.216866
pg160_p,"Phosphatidylglycerol (dihexadecanoyl, n-C16:0)",-0.004892,C38H74O10P1,721.9619210000001,0.0035318377175320003,0.18589599999999998
pg161_c,"Phosphatidylglycerol (dihexadec-9-enoyl, n-C16:1)",-0.004439,C38H70O10P1,717.930161,0.003186891984679,0.168682
pg161_p,"Phosphatidylglycerol (dihexadec-9-enoyl, n-C16:1)",-0.003805,C38H70O10P1,717.930161,0.002731724262605,0.14459
pg181_c,"Phosphatidylglycerol (dioctadec-11-enoyl, n-C18:1)",-0.002288,C42H78O10P1,774.036481,0.001770995468528,0.096096
pg181_p,"Phosphatidylglycerol (dioctadec-11-enoyl, n-C18:1)",-0.001961,C42H78O10P1,774.036481,0.001517885539241,0.082362
phe__L_c,L-Phenylalanine,-0.180021,C9H11NO2,165.18913999999998,0.029737514171939997,1.6201889999999999
pheme_c,Protoheme C34H30FeN4O4,-0.000223,C34H30FeN4O4,614.4714,0.0001370271222,0.007582
pi_c,Phosphate,53.945874,HO4P,95.97930099999999,-5.177687278354074,0.0
ppi_c,Diphosphate,0.749831,HO7P2,174.951262,-0.13118387973672202,0.0
pro__L_c,L-Proline,-0.214798,C5H9NO2,115.13046,0.02472979254708,1.07399
ptrc_c,Putrescine,-0.03327,C4H14N2,90.16736,0.0029998680672,0.13308
pydx5p_c,Pyridoxal 5'-phosphate,-0.000223,C8H8NO6P,245.125981,5.4663093763e-05,0.001784
q8h2_c,Ubiquinol-8,-0.000223,C49H76O4,729.12534,0.00016259495082000003,0.010927
ribflv_c,Riboflavin C17H20N4O6,-0.000223,C17H20N4O6,376.36389999999994,8.392914969999998e-05,0.003791
ser__L_c,L-Serine,-0.209684,C3H7NO3,105.09258,0.02203623254472,0.6290520000000001
sheme_c,Siroheme C42H36FeN4O16,-0.000223,C42H36FeN4O16,908.59744,0.00020261722912,0.009366
so4_c,Sulfate,-0.004126,O4S,96.0626,0.00039635428760000004,0.0
spmd_c,Spermidine,-0.006744,C7H22N3,148.26968,0.00099993072192,0.047208
succoa_c,Succinyl-CoA,-9.8e-05,C25H35N7O19P3S,862.5671829999999,8.453158393399998e-05,0.00245
thf_c,"5,6,7,8-Tetrahydrofolate",-0.000223,C19H21N7O6,443.41334,9.888117481999999e-05,0.004237
thmpp_c,Thiamine diphosphate,-0.000223,C12H16N4O7P2S,422.290562,9.4170795326e-05,0.002676
thr__L_c,L-Threonine,-0.246506,C4H9NO3,119.11916,0.029363587654959996,0.986024
trp__L_c,L-Tryptophan,-0.055234,C11H12N2O2,204.22518,0.01128017359212,0.607574
tyr__L_c,L-Tyrosine,-0.133993,C9H11NO3,181.18854,0.024277996040219997,1.205937
udcpdp_c,Undecaprenyl diphosphate,-5.5e-05,C55H89O7P2,924.238482,5.0833116510000005e-05,0.003025
utp_c,UTP C9H11N2O15P3,-0.140101,C9H11N2O15P3,480.109323,0.067263796261623,1.260909
val__L_c,L-Valine,-0.411184,C5H11NO2,117.14634,0.048168700666559996,2.05592
zn2_c,Zinc,-0.000324,Zn,65.409,2.1192516000000005e-05,0.0
Total,,53.36062800000002,,,0.9996577560637845,40.85841399999978
