metabolite,coefficient,formula,formula_weight,weight_contribution
cpd00201_c0,-0.00309646685192537,C20H21N7O7,471.42344,1.4597470551806286
cpd00107_c0,-0.375388847540127,C6H13NO2,131.17291999999998,49.24085126727327
cpd00264_c0,-0.00309646685192537,C7H22N3,148.26968,0.45911214926558197
cpd00030_c0,-0.00309646685192537,Mn,54.938049,0.17011384763795173
cpd00254_c0,-0.00309646685192537,Mg,24.305,0.07525962683604612
cpd00041_c0,-0.200830806928348,C4H6NO4,132.09474,26.52869322519033
cpd00161_c0,-0.211072732780569,C4H9NO3,119.11916,25.142806627725843
cpd00039_c0,-0.285438020490179,C6H15N2O2,147.1955,42.01519214506215
cpd00118_c0,-0.00309646685192537,C4H14N2,90.16736,0.27920024136562155
cpd00048_c0,-0.00309646685192537,O4S,96.0626,0.29745465660976605
cpd15540_c0,-0.0106480421341882,C42H82O10P,778.068241,8.284903413441699
cpd15794_c0,-0.0106480421341882,C77H148O17P2,1407.936342,14.991765491870808
cpd00119_c0,-0.0792636000737159,C6H9N3O2,155.15456,12.298108993453358
cpd00065_c0,-0.0472019191450218,C11H12N2O2,204.22518,9.639820433737523
cpd00056_c0,-0.00309646685192537,C12H17N4O7P2S,423.298502,1.310729779912665
cpd00132_c0,-0.200830806928348,C4H8N2O3,132.11792,26.533348483294926
cpd02229_c0,-0.0250105977108944,C55H90O7P2,925.246422,23.140966044086436
cpd00054_c0,-0.179456352975885,C3H7NO3,105.09258,18.859531131626433
cpd00053_c0,-0.219088153012743,C5H10N2O3,146.1445,32.01852857797082
cpd00220_c0,-0.00309646685192537,C17H20N4O6,376.36389999999994,1.1653983406113546
cpd00063_c0,-0.00309646685192537,Ca,40.078,0.12410019849146499
cpd00356_c0,-0.0213435009581568,C9H13N3O13P3,464.133103,9.906225328592788
cpd10515_c0,-0.00309646685192537,Fe,55.845,0.17292219134577227
cpd15795_c0,-0.0106480421341882,C77H148O17P2,1407.936342,14.991765491870808
cpd00042_c0,-0.00309646685192537,C10H16N3O6S,306.31554,0.9484959158396198
cpd00016_c0,-0.00309646685192537,C8H9NO6P,246.133921,0.7621455275109177
cpd00003_c0,-0.00309646685192537,C21H26N7O14P2,662.4171620000001,2.051152784279478
cpd00166_c0,-0.00309646685192537,C72H101CoN18O17P,1580.5897009999999,4.894243615641131
cpd15500_c0,-0.00309646685192537,C51H72O2,717.11618,2.220526480349347
cpd00357_c0,-0.0106923382342339,C10H14N2O14P3,479.144443,5.123174447609606
cpd00149_c0,-0.00309646685192537,Co,58.9332,0.1824847002778882
cpd00205_c0,-0.00309646685192537,K,39.0983,0.1210665899166337
cpd00115_c0,-0.0106923382342339,C10H13N5O12P3,488.157803,5.2195483413565205
cpd15560_c0,-0.00309646685192537,C49H74O4,727.1094600000001,2.2514703406113563
cpd00002_c0,-40.1101757365074,C10H13N5O13P3,504.157203,20221.834011156036
cpd10516_c0,-0.00309646685192537,Fe,55.845,0.17292219134577227
cpd00017_c0,-0.00309646685192537,C15H23N6O5S,399.44532000000004,1.2368691925367221
cpd00052_c0,-0.0841036156544863,C9H13N3O14P3,480.13250300000004,40.380879495538494
cpd15533_c0,-0.0106480421341882,C41H82NO8P,748.065441,7.965432334898077
cpd00051_c0,-0.246696822701341,C6H15N4O2,175.2089,43.22347893899698
cpd00028_c0,-0.00309646685192537,C34H30FeN4O4,614.4714,1.9026903215561748
cpd00023_c0,-0.219088153012743,C5H8NO4,146.12132,32.01345011458398
cpd00008_c0,40.0,C10H13N5O10P2,425.18524199999996,-17007.409679999997
cpd01997_c0,0.00309646685192537,C9H10N2,146.1891,-0.4526697022628031
cpd00067_c0,40.0,H,1.00794,-40.3176
cpd03422_c0,0.00309646685192537,C48H73CoN11O8,991.0953199999999,-3.0688938054783668
cpd00012_c0,0.484589756657213,H2O7P2,175.959202,-85.26802687877739
cpd00009_c0,39.9969035331481,HO4P,95.97930099999999,-3838.8748432759844
Total,,,,894.1830956398867
